#,Поисковый запрос,"Локализация, %",Геозависимость,"Коммерциализация, %",Коммерция код,%коомерции 
8030,hammer h2,0%,нет,42%,0,
8031,санта фе цена 2022,70%,да,100%,1,
8032,hyundai sonata 2008,40%,да,46%,0,
8033,киа соул купить бу в москве,20%,нет,100%,1,
8034,linkoln navigator,30%,да,45%,0,
8035,cx 4,0%,нет,47%,0,
8036,мл 163,0%,нет,22%,-1,
8037,мерседес vito,50%,да,44%,0,
8038,mitsubishi cedia lancer,10%,да,30%,-1,
8039,москвич джип,20%,да,37%,0,
8040,рено логан 2012,40%,да,63%,0,
8041,купить сааб 9 3,70%,да,89%,1,
8042,субару кросстрек,10%,да,15%,-1,
8043,тойота королла 2000,20%,да,79%,1,
8044,купить краун,30%,да,84%,1,
8045,99 жигули,0%,нет,30%,-1,
8046,лада веста 2018,30%,да,46%,0,
8047,porter hyundai 2,10%,да,40%,0,
8048,мотоциклы ducati,40%,да,74%,1,
8049,купить харлей,50%,да,92%,1,
8050,хонда вфр 800 купить,50%,да,63%,0,
8051,украина авто,0%,нет,61%,0,
8052,купить авто тойота рав 4 с пробегом в беларуси,0%,нет,100%,1,
8053,aito m5 huawei купить,30%,да,93%,1,
8054,audi a5 купить,100%,да,99%,1,
8055,berlinetta f12,0%,нет,16%,-1,
8056,genesis gv70 купить,40%,да,98%,1,
8057,civic 5d,0%,нет,18%,-1,
8058,новый лексус 2023,30%,да,55%,0,
8059,ниссан х трейл фото,0%,нет,30%,-1,
8060,тойота селика фото,0%,нет,15%,-1,
8061,тойота крюгер,10%,да,36%,0,
8062,супра машина цена,20%,да,93%,1,
8063,серебристая девятка,0%,нет,15%,-1,
8064,audi rs4 b7,0%,нет,37%,0,
8065,лачетти размер шин,0%,нет,31%,-1,
8066,хонда паспорт,0%,нет,27%,-1,
8067,авто ру краснодарский край автомобили,70%,нет,57%,0,
8068,как часто нужно менять топливный фильтр,0%,нет,1%,-1,
8069,как заряжать аккумулятор автомобильный,0%,нет,0%,-1,
8070,новинки авто в россии в 2023,0%,нет,16%,-1,
8071,почему плавают обороты,0%,нет,7%,-1,
8072,мерседес gls 350d,0%,нет,32%,-1,
8073,купить внедорожники,80%,да,100%,1,
8074,м5 ф90 сколько стоит,0%,нет,87%,1,
8075,faw besturn b70 купить,60%,да,93%,1,
8076,faw besturn t77 цена,60%,да,98%,1,
8077,иж ода машина,0%,нет,25%,-1,
8078,иран кодро,20%,да,23%,-1,
8079,купить ламбу,50%,да,100%,1,
8080,mazda 626 ge,0%,нет,23%,-1,
8081,мерседес е240,20%,да,36%,0,
8082,pajero sport 3,20%,да,24%,-1,
8083,ниссан микра цена,50%,да,76%,1,
8084,порше кайен с,40%,да,48%,0,
8085,рено шафран,30%,да,31%,-1,
8086,тойота модельный ряд 2023,20%,да,74%,1,
8087,тойота камри 2006,40%,да,55%,0,
8088,jzx100 chaser,0%,нет,22%,-1,
8089,чайзер цена,30%,да,86%,1,
8090,купить ленд крузер прадо новый,60%,да,98%,1,
8091,тойота марк 2 110,20%,да,30%,-1,
8092,тойота танк цена,40%,да,64%,0,
8093,велфаер тойота купить,30%,да,99%,1,
8094,купить тойота виста,60%,да,80%,1,
8095,уаз старый,20%,да,19%,-1,
8096,купить ав,80%,да,98%,1,
8097,вольсфаген,60%,да,46%,0,
8098,фольксваген 7 местный,20%,да,42%,0,
8099,jetta 7,0%,нет,45%,0,
8100,фольксваген туарег сколько стоит,60%,да,100%,1,
8101,mercedes sprinter купить,50%,да,82%,1,
8102,цена харлей дэвидсон мотоцикл,60%,да,92%,1,
8103,форд фокус 3 отзывы,0%,нет,12%,-1,
8104,солярис хендай купить в спб,90%,нет,97%,1,
8105,бмв электромобиль i3 цена,30%,да,96%,1,
8106,bmw ix1,10%,да,36%,0,
8107,черная бмв м8,0%,нет,42%,0,
8108,китайский бентли,0%,нет,39%,0,
8109,купить isuzu mu x,20%,да,93%,1,
8110,ураган ламборгини,0%,нет,31%,-1,
8111,w214 mercedes,0%,нет,22%,-1,
8112,кроссовер мицубиси,0%,нет,57%,0,
8113,порше 911 цена в россии,20%,да,78%,1,
8114,микроавтобус истана,10%,да,25%,-1,
8115,i10 хендай,10%,да,24%,-1,
8116,авто ру череповец,50%,нет,46%,0,
8117,ваз 2108 купить в крыму,90%,нет,100%,1,
8118,машины 2023 года новинки,0%,нет,15%,-1,
8119,знак пдд уступи дорогу,0%,нет,8%,-1,
8120,расшифровка моторных масел,0%,нет,0%,-1,
8121,ауди ку 3 купить,80%,да,99%,1,
8122,део нексиа,30%,да,26%,-1,
8123,мерс с63,10%,да,47%,0,
8124,цена maybach,0%,нет,100%,1,
8125,ровер купить,60%,да,87%,1,
8126,тайгер машина,30%,да,40%,0,
8127,маз седельный тягач купить,70%,да,100%,1,
8128,ситрак тягач цена,20%,да,78%,1,
8129,фото ауди q7,10%,да,24%,-1,
8130,фиат альбеа 2008,30%,да,43%,0,
8131,хонда фит цена,60%,да,93%,1,
8132,акцент машина хендай,20%,да,37%,0,
8133,range rover 4 4,13%,да,30%,-1,
8134,лифан солано 2012,30%,да,35%,0,
8135,164 мл,0%,нет,35%,0,
8136,mini clubman cooper,30%,да,41%,0,
8137,аутлендер 1 поколения,20%,да,23%,-1,
8138,фото ниссан альмера классик,0%,нет,24%,-1,
8139,ниссан слива,20%,да,23%,-1,
8140,land cruiser 100 купить,20%,да,100%,1,
8141,купить toyota rav 4,60%,да,100%,1,
8142,купить электромобиль бу,70%,да,100%,1,
8143,форд транзит цена,70%,да,100%,1,
8144,volkswagen lt,0%,нет,20%,-1,
8145,yamaha vmax,20%,да,43%,0,
8146,honda x adv,20%,да,13%,-1,
8147,авто ру нижегородская область авто с пробегом частные объявления,0%,нет,97%,1,
8148,купить в оренбурге машину с пробегом,100%,нет,78%,1,
8149,дешевая машина,50%,да,50%,0,
8150,додж рам фото,0%,нет,41%,0,
8151,hower,0%,нет,83%,1,
8152,гелик купить новый,80%,да,100%,1,
8153,renault megane rs,0%,нет,30%,-1,
8154,аллион машина,10%,да,23%,-1,
8155,toyota crown s170,10%,да,32%,-1,
8156,самая новая ламборгини 2020,0%,нет,27%,-1,
8157,размеры ниссан кашкай,0%,нет,40%,0,
8158,ваз 21230,0%,нет,36%,0,
8159,курск автопартнер,100%,нет,45%,0,
8160,бланк дкп распечатать,0%,нет,15%,-1,
8161,ford f series,0%,нет,7%,-1,
8162,купить машину лнр,0%,нет,73%,1,
8163,не работает вентилятор охлаждения,60%,да,0%,-1,
8164,новые марки автомобилей,0%,нет,52%,0,
8165,рабочая температура двигателя бензинового,0%,нет,1%,-1,
8166,сколько должен показывать заряженный аккумулятор вольт без нагрузки,0%,нет,1%,-1,
8167,что означает вылет на дисках,0%,нет,0%,-1,
8168,уаз патриот купить с пробегом,30%,да,99%,1,
8169,продажа автомобилей подержанных,100%,да,99%,1,
8170,volkswagen transporter t5,30%,да,28%,-1,
8171,купить вольво хс40,80%,да,89%,1,
8172,электромобиль купить в россии цена,30%,да,100%,1,
8173,ауди электрическая,40%,да,64%,0,
8174,bmw e30 купить,25%,да,62%,0,
8175,bmw f11,30%,да,48%,0,
8176,чинган фл75 цена фото и цена,0%,нет,89%,1,
8177,реззо шевроле купить,70%,да,100%,1,
8178,газ сайбер,20%,да,29%,-1,
8179,infinity fx,10%,да,23%,-1,
8180,iran khodro купить,67%,да,84%,1,
8181,мерседес clc,10%,да,33%,-1,
8182,белый гелендваген,0%,нет,76%,1,
8183,мерседес gls 450,60%,да,68%,1,
8184,митсубиси делика д5 купить,50%,да,98%,1,
8185,эволюшн 8,0%,нет,23%,-1,
8186,купить кашкай с пробегом,20%,да,98%,1,
8187,опель зафира бу купить в москве,20%,нет,99%,1,
8188,дастер 2,0%,нет,23%,-1,
8189,тойота внедорожник модели,0%,нет,50%,0,
8190,volkswagen polo 2022,30%,да,57%,0,
8191,v strom 650,0%,нет,35%,0,
8192,грузовик газон,50%,да,69%,1,
8193,владивосток купить мотоцикл,100%,нет,100%,1,
8194,is f,0%,нет,31%,-1,
8195,мерседес майбах 600 gls,0%,нет,50%,0,
8196,signum opel,10%,да,21%,-1,
8197,корейские машины в россии марки цена,20%,да,73%,1,
8198,фото фольксваген кадди,0%,нет,29%,-1,
8199,бмв м5 ф90 характеристики,0%,нет,41%,0,
8200,китайский автопром в россии,0%,нет,36%,0,
8201,мазда сх 90,0%,нет,21%,-1,
8202,ваз 2107 размер колес,0%,нет,47%,0,
8203,волгоград улица зевина 3д карлссон,60%,нет,70%,1,
8204,авто ру канск,90%,нет,78%,1,
8205,обзор omoda s5,0%,нет,5%,-1,
8206,щетка стеклоочистителя гибридная что это,0%,нет,8%,-1,
8207,купить хонда хрв,60%,да,87%,1,
8208,цена tesla model s,0%,нет,90%,1,
8209,семиместная тойота,20%,да,24%,-1,
8210,купить б у авто в москве и московской области,10%,нет,99%,1,
8211,лада гранта серая,40%,да,50%,0,
8212,ауди а4 2012,0%,нет,38%,0,
8213,bmw xdrive 530d,0%,нет,58%,0,
8214,генезис купе,0%,нет,23%,-1,
8215,ех инфинити,30%,да,33%,-1,
8216,фольксваген джетта 2022,20%,да,39%,0,
8217,киа сид gt,30%,да,48%,0,
8218,lamborghini urus 2023,0%,нет,33%,-1,
8219,мазда бт50,10%,да,25%,-1,
8220,мерседес amg c63,0%,нет,38%,0,
8221,214 мерседес,0%,нет,27%,-1,
8222,мерс gls,30%,да,45%,0,
8223,мерседес v класса,60%,да,46%,0,
8224,nissan жук,40%,да,39%,0,
8225,мурано ниссан 2007,20%,да,41%,0,
8226,ниссан автомобиль,50%,да,45%,0,
8227,ниссан ванетта,20%,да,33%,-1,
8228,цена опель мокка,90%,да,100%,1,
8229,auto smart,40%,да,38%,0,
8230,смарт форту,30%,да,41%,0,
8231,купить tesla model y,0%,нет,90%,1,
8232,тойота в москве купить,30%,нет,100%,1,
8233,toyota пикап,50%,да,45%,0,
8234,лада веста нж,0%,нет,22%,-1,
8235,golf gti 7,0%,нет,39%,0,
8236,купить фольксваген джетта с пробегом,30%,да,99%,1,
8237,грузовой фольксваген крафтер,40%,да,50%,0,
8238,vfr 1200,0%,нет,32%,-1,
8239,yamaha мотоцикл купить,90%,да,100%,1,
8240,авто ру пенза авто с пробегом пенза и область,60%,нет,99%,1,
8241,автору самара,50%,нет,51%,0,
8242,автору ру тюмень,80%,нет,64%,0,
8243,авто ру авто с пробегом великий новгород,90%,нет,92%,1,
8244,кроссфаер машина,20%,да,26%,-1,
8245,чайка автомобиль фото,0%,нет,15%,-1,
8246,киа к8 цена,20%,да,64%,0,
8247,гелендваген цена новый,60%,да,100%,1,
8248,майбах внедорожник,0%,нет,57%,0,
8249,лансер 8 эволюшн,0%,нет,23%,-1,
8250,купить ниссан ларго,20%,да,100%,1,
8251,купить панамера,40%,да,89%,1,
8252,тойота джипы все модели,0%,нет,46%,0,
8253,пятнашка машина фото,0%,нет,32%,-1,
8254,размеры хендай солярис,0%,нет,48%,0,
8255,как часто менять масло,0%,нет,2%,-1,
8256,заезд в бокс задним ходом пошаговая инструкция,0%,нет,0%,-1,
8257,как поменять дворники,0%,нет,0%,-1,
8258,как на лобовом стекле убрать трещину,0%,нет,1%,-1,
8259,заряд акб,0%,нет,0%,-1,
8260,категория d это какой транспорт,0%,нет,0%,-1,
8261,классы автомобилей по престижу,0%,нет,0%,-1,
8262,купить авто макеевка,0%,нет,62%,0,
8263,ауто ру москва и московская,60%,нет,76%,1,
8264,купить хонда прелюд,50%,да,75%,1,
8265,мицубиси лансер 9 купить,50%,да,90%,1,
8266,купить volvo xc40,90%,да,92%,1,
8267,ямаха мт09,0%,нет,34%,-1,
8268,840d bmw,10%,да,40%,0,
8269,сколько стоит м5 ф90,0%,нет,82%,1,
8270,x6 bmw 2022,0%,нет,64%,0,
8271,хендай элантра 2006,20%,да,39%,0,
8272,туссан хендай бу купить,90%,да,99%,1,
8273,киа купе серато,40%,да,42%,0,
8274,хсид,0%,нет,36%,0,
8275,li 9 купить,60%,да,93%,1,
8276,мазда 3 красная,0%,нет,45%,0,
8277,мазда сх30 купить,30%,да,98%,1,
8278,мазда mx 5,0%,нет,20%,-1,
8279,cls63 amg цена,0%,нет,56%,0,
8280,мл350 мерседес,30%,да,36%,0,
8281,митсубиси ланцер,20%,да,31%,-1,
8282,роллс ройс фантом купить,0%,нет,95%,1,
8283,шкода кодиак сколько стоит,50%,да,98%,1,
8284,сузуки свифт 2008,20%,да,51%,0,
8285,круизер тойота,20%,да,35%,0,
8286,китайские автомобили седаны,20%,да,43%,0,
8287,отечественные машины,40%,да,51%,0,
8288,маленький фольксваген,10%,да,20%,-1,
8289,машина буханка купить,60%,да,96%,1,
8290,купить бу эндуро,50%,да,87%,1,
8291,хонда аскот,0%,нет,42%,0,
8292,мерседес купить в россии,20%,да,96%,1,
8293,фото пежо,0%,нет,50%,0,
8294,panamera porsche 2022,20%,да,55%,0,
8295,ваз 2105 фото,0%,нет,18%,-1,
8296,маленькая китайская машина,20%,да,39%,0,
8297,гибридные автомобили из китая,20%,да,35%,0,
8298,рс 2,0%,нет,25%,-1,
8299,технические характеристики джили атлас про,0%,нет,78%,1,
8300,киа спортейдж размер шин,0%,нет,40%,0,
8301,ваз 2107 масса,0%,нет,37%,0,
8302,авто ру курганская область,0%,нет,57%,0,
8303,купить газель в луганске,0%,нет,74%,1,
8304,дорога жизни санкт петербург,30%,нет,0%,-1,
8305,где самые дешевые машины,20%,да,12%,-1,
8306,где купить автомобиль дешевле,30%,да,27%,-1,
8307,где на шинах указан год выпуска фото,0%,нет,11%,-1,
8308,b права,0%,нет,0%,-1,
8309,права б1,0%,нет,8%,-1,
8310,не работает печка,0%,нет,0%,-1,
8311,как регулировать клапана,0%,нет,0%,-1,
8312,крест дорожный знак,0%,нет,0%,-1,
8313,мл мерседес купить бу,80%,да,100%,1,
8314,смарт мерседес цена,80%,да,100%,1,
8315,купить квадрик бу,90%,да,100%,1,
8316,сколько стоит автобус новый,40%,да,92%,1,
8317,ауди а6 новая,80%,да,74%,1,
8318,320д бмв,10%,да,45%,0,
8319,е93 бмв,0%,нет,22%,-1,
8320,bmw 540,20%,да,43%,0,
8321,cadillac escalade цена 2023,50%,да,92%,1,
8322,экоспорт,20%,да,24%,-1,
8323,волга сайбер купить бу,70%,да,98%,1,
8324,купить jetta vs5 в россии,50%,да,97%,1,
8325,киа пиканто бу,90%,да,100%,1,
8326,лексус 600 lx,40%,да,41%,0,
8327,авто l9,0%,нет,64%,0,
8328,мерседес gt63,20%,да,30%,-1,
8329,mercedes 211,30%,да,22%,-1,
8330,w166 mercedes,30%,да,24%,-1,
8331,61 патрол,20%,да,25%,-1,
8332,рав 4 2010,30%,да,49%,0,
8333,t5 vw,0%,нет,28%,-1,
8334,с пробегом купить авто санкт петербург,90%,нет,99%,1,
8335,бмв х3 фото,0%,нет,46%,0,
8336,новый шевроле,70%,да,84%,1,
8337,датсун он до фото,0%,нет,22%,-1,
8338,газ 14 купить,30%,да,99%,1,
8339,волга белая,0%,нет,15%,-1,
8340,мазда бианте,10%,да,37%,0,
8341,мазда сх7 фото,0%,нет,30%,-1,
8342,кабан мерин,0%,нет,15%,-1,
8343,автомобили современные,30%,да,33%,-1,
8344,nissan cima,10%,да,37%,0,
8345,пежо 408 фото,0%,нет,23%,-1,
8346,субару леворг 2017,10%,да,42%,0,
8347,тойота королла 2001,20%,да,43%,0,
8348,surf hilux,0%,нет,29%,-1,
8349,toyota will,10%,да,19%,-1,
8350,нива шевроле объем багажника,0%,нет,46%,0,
8351,хендай пони,0%,нет,33%,-1,
8352,киа рио 3 объем бака,0%,нет,59%,0,
8353,расход топлива уаз патриот 2.7 бензин,0%,нет,39%,0,
8354,клиренс ваз 2114,0%,нет,33%,-1,
8355,лада гранта комплектация комфорт,0%,нет,57%,0,
8356,авто ру ирбит,100%,нет,84%,1,
8357,купить авто с пробегом в костроме,20%,нет,98%,1,
8358,фото газель фермер,0%,нет,48%,0,
8359,напряжение акб,0%,нет,1%,-1,
8360,рам внедорожник,0%,нет,45%,0,
8361,форд фокус белый,50%,да,46%,0,
8362,купить l9,60%,да,100%,1,
8363,ml mercedes benz,10%,да,24%,-1,
8364,ямаха р7,20%,да,54%,0,
8365,акура мдх 2023,0%,нет,49%,0,
8366,ауди 100 кватро,0%,нет,15%,-1,
8367,ауди а6 2016,30%,да,56%,0,
8368,audi coupe,30%,да,38%,0,
8369,купить ауди рс6,70%,да,99%,1,
8370,бмв 318 i,0%,нет,34%,-1,
8371,бмв 540i,0%,нет,36%,0,
8372,bmw 740i,10%,да,32%,-1,
8373,бмв м6 цена,30%,да,93%,1,
8374,купить бмв х6 с пробегом,50%,да,98%,1,
8375,шевроле нива цена бу,70%,да,99%,1,
8376,аккорд хонда 2010,30%,да,74%,1,
8377,хонда степвагон 2018,20%,да,52%,0,
8378,хендай санта фе 2012,40%,да,67%,1,
8379,купить иж 2126 ода,30%,да,87%,1,
8380,купить инфинити qx56,100%,да,100%,1,
8381,маджентис киа 2004,10%,да,34%,-1,
8382,мазда cx 60,10%,да,24%,-1,
8383,cls 219,0%,нет,19%,-1,
8384,mercedes 212,30%,да,22%,-1,
8385,гелик мерседес бенц,0%,нет,46%,0,
8386,митсубиси асх 2012,40%,да,45%,0,
8387,ниссан купе,30%,да,39%,0,
8388,fb15 nissan sunny,0%,нет,32%,-1,
8389,ниссан теана 2012,20%,да,45%,0,
8390,купить renault,80%,да,100%,1,
8391,шкода октавия лифтбек,20%,да,52%,0,
8392,смарт кабриолет,0%,нет,40%,0,
8393,внедорожник toyota,30%,да,51%,0,
8394,тойота селика 2000,20%,да,48%,0,
8395,сколько стоит крузак 300,0%,нет,63%,0,
8396,trumpchi,0%,нет,23%,-1,
8397,авто ru авто с пробегом москва,40%,нет,100%,1,
8398,2115 купить,50%,да,93%,1,
8399,лада калина 1 хэтчбек,20%,да,31%,-1,
8400,лада каблук,20%,да,63%,0,
8401,грузовой газ,40%,да,65%,0,
8402,автобус man,50%,да,56%,0,
8403,audi 2023,40%,да,53%,0,
8404,geely galaxy,0%,нет,43%,0,
8405,g90 genesis 2023,20%,да,40%,0,
8406,infiniti fx50s,10%,да,15%,-1,
8407,фото киа рио 3,0%,нет,19%,-1,
8408,мазда рх7 цена,0%,нет,83%,1,
8409,сколько стоит в россии гелик,0%,нет,70%,1,
8410,автомобиль смарт фото,0%,нет,41%,0,
8411,тойота маленькая модель,0%,нет,18%,-1,
8412,китайские кроссоверы в россии модельный ряд и цены,20%,да,51%,0,
8413,ваз 2112 характеристики,0%,нет,39%,0,
8414,бентли генезис,0%,нет,29%,-1,
8415,молодогвардейцев 2 в челябинске автосалон,70%,нет,45%,0,
8416,как чистить дроссельную заслонку,0%,нет,0%,-1,
8417,замена дворников,30%,да,26%,-1,
8418,как отрегулировать клапана,0%,нет,0%,-1,
8419,знак пдд пешеходный переход,0%,нет,0%,-1,
8420,санта фе гранд,30%,да,41%,0,
8421,сколько стоит ламборгини в рублях,0%,нет,91%,1,
8422,nissan patrol купить,80%,да,87%,1,
8423,nissan terrano купить,80%,да,74%,1,
8424,9 машина лада,40%,да,41%,0,
8425,ауди ку7 цена,80%,да,97%,1,
8426,bmw 528i,20%,да,30%,-1,
8427,бмв кабриолет м4,0%,нет,23%,-1,
8428,шевроле аваланч,10%,да,23%,-1,
8429,форд ц макс,40%,да,29%,-1,
8430,купить хендай солярис в кредит,20%,да,100%,1,
8431,киа соренто с пробегом купить в москве,0%,нет,97%,1,
8432,внедорожник ламборгини,0%,нет,38%,0,
8433,мазда демио dw3w,0%,нет,22%,-1,
8434,cla amg 45,0%,нет,26%,-1,
8435,опель астра купе gtc,10%,да,29%,-1,
8436,subaru forester 2023,10%,да,46%,0,
8437,тойота ярис купить с пробегом,30%,да,97%,1,
8438,нива урбан белая,10%,да,37%,0,
8439,volkswagen polo 2019,40%,да,53%,0,
8440,вольво с пробегом купить,10%,да,100%,1,
8441,ford cougar,0%,нет,24%,-1,
8442,отзывы владельцев рено колеос,0%,нет,1%,-1,
8443,оценить автомобиль для продажи онлайн калькулятор,0%,нет,90%,1,
8444,хайма м3,30%,да,44%,0,
8445,хонда цивик 5 поколения,10%,да,22%,-1,
8446,инсайд машина,10%,да,26%,-1,
8447,мерседес бенц кабан,0%,нет,23%,-1,
8448,porsche 911 2023,0%,нет,20%,-1,
8449,шкода фабия рс,10%,да,35%,0,
8450,мерседес смарт фото,0%,нет,40%,0,
8451,toyota allex,10%,да,30%,-1,
8452,купить авто на авто ру в россии с пробегом в россии,10%,да,83%,1,
8453,машина жига,0%,нет,12%,-1,
8454,ваз фото,0%,нет,47%,0,
8455,американский внедорожник,0%,нет,46%,0,
8456,подбор авто по параметрам,40%,да,82%,1,
8457,кобальт шевроле технические характеристики,0%,нет,48%,0,
8458,все модели toyota,0%,нет,53%,0,
8459,купить шевроле лачетти в донецке днр,80%,нет,74%,1,
8460,купить авто в геническе,0%,нет,60%,0,
8461,карелия на машине что посмотреть,100%,нет,8%,-1,
8462,какая лучше машина,0%,нет,9%,-1,
8463,снять аккумулятор с машины,0%,нет,0%,-1,
8464,при какой температуре замерзает дизель,0%,нет,1%,-1,
8465,почему двигатель жрет масло,0%,нет,0%,-1,
8466,тосол для чего нужен,0%,нет,1%,-1,
8467,вранглер купить,90%,да,100%,1,
8468,купить соренто прайм,80%,да,95%,1,
8469,купить smart,80%,да,100%,1,
8470,купить toyota c hr,90%,да,100%,1,
8471,тойота марк 2 90 кузов,10%,да,24%,-1,
8472,купить дешево машину,90%,да,78%,1,
8473,авто за 500000 рублей,60%,да,63%,0,
8474,семиместные китайские автомобили,10%,да,23%,-1,
8475,семиместный автомобиль купить,80%,да,74%,1,
8476,ауди б4 купить,60%,да,89%,1,
8477,420 бмв,40%,да,62%,0,
8478,купить бмв с пробегом,20%,да,98%,1,
8479,бмв f15,40%,да,30%,-1,
8480,шевроле авео 2013,10%,да,36%,0,
8481,ситроен с3 пикассо купить,70%,да,100%,1,
8482,xsara citroen,10%,да,15%,-1,
8483,большой джип форд,20%,да,39%,0,
8484,хендай туксон 2008,40%,да,56%,0,
8485,ягуар type s,0%,нет,30%,-1,
8486,белая киа,70%,да,87%,1,
8487,лексус рх330,20%,да,33%,-1,
8488,лексус rx350 цена,30%,да,74%,1,
8489,linkoln town car,0%,нет,28%,-1,
8490,амг мерседес цена,40%,да,60%,0,
8491,mercedes cl500,20%,да,29%,-1,
8492,gle 450,0%,нет,51%,0,
8493,ниссан жук сколько стоит,0%,нет,97%,1,
8494,купить пежо 4007,60%,да,92%,1,
8495,boxter,30%,да,23%,-1,
8496,машина каптюр,40%,да,51%,0,
8497,купить ssangyong kyron,70%,да,80%,1,
8498,шестерка машина фото,0%,нет,16%,-1,
8499,черная ваз 2107,38%,да,22%,-1,
8500,15 купить,80%,да,97%,1,
8501,купить джетту,80%,да,99%,1,
8502,бмв с 1000 рр,0%,нет,53%,0,
8503,харлей дэвидсон цена,50%,да,93%,1,
8504,suzuki r gsx 1000,0%,нет,49%,0,
8505,владимир автосалоны,80%,нет,53%,0,
8506,машина белая большая,0%,нет,17%,-1,
8507,китайская машина v с эмблемой,0%,нет,39%,0,
8508,ситроен хм,10%,да,26%,-1,
8509,mengshi,0%,нет,43%,0,
8510,e55,0%,нет,29%,-1,
8511,паджеро 2023,0%,нет,36%,0,
8512,рцз пежо,10%,да,20%,-1,
8513,тойота харриер 2022,0%,нет,46%,0,
8514,тойота хайлендер бу,100%,да,99%,1,
8515,секвойя тойота фото,0%,нет,36%,0,
8516,лада гранта седан фото,10%,да,50%,0,
8517,машина спайдер,10%,да,27%,-1,
8518,мерседес бенц все модели,0%,нет,61%,0,
8519,расход топлива приора,0%,нет,28%,-1,
8520,веста техно,0%,нет,38%,0,
8521,купить ваз 2104 в днр,0%,нет,95%,1,
8522,авто ру калининградская область,0%,нет,64%,0,
8523,авто ру калужская область авто с пробегом,0%,нет,96%,1,
8524,как правильно полировать автомобиль своими руками,0%,нет,1%,-1,
8525,стоянка по четным числам запрещена знак,0%,нет,0%,-1,
8526,старт стоп система для машины,10%,да,18%,-1,
8527,h1 hyundai купить,70%,да,99%,1,
8528,toyota corolla e120,20%,да,23%,-1,
8529,газ 2705 купить,40%,да,96%,1,
8530,цены на машины 2023,75%,да,52%,0,
8531,acura машина,20%,да,39%,0,
8532,бмв 10,10%,да,22%,-1,
8533,bmw x5 2020,0%,нет,70%,1,
8534,75 плюс,50%,да,70%,1,
8535,dodge viper купить,30%,да,93%,1,
8536,купить бу джили тугела,60%,да,97%,1,
8537,хавал 7 местный,0%,нет,52%,0,
8538,элантра 2017,20%,да,59%,0,
8539,infiniti m37,30%,да,42%,0,
8540,jetour x90 plus цена в россии,0%,нет,96%,1,
8541,ленд ровер фрилендер купить,40%,да,72%,1,
8542,купить мазерати в москве,10%,нет,92%,1,
8543,мерседес гелендваген 2023 цена новый,50%,да,77%,1,
8544,mitsubishi pajero sport 2023,10%,да,58%,0,
8545,nissan maxima a33,20%,да,22%,-1,
8546,кабриолет порше 911,30%,да,30%,-1,
8547,роллс ройс кабриолет,0%,нет,31%,-1,
8548,купить сеат леон,50%,да,87%,1,
8549,шкода кодиак бу,80%,да,100%,1,
8550,raf 4,30%,да,27%,-1,
8551,сколько стоит ваз 2107,88%,да,85%,1,
8552,жигули 12,60%,да,57%,0,
8553,гранта акпп,10%,да,14%,-1,
8554,купить т3,10%,да,81%,1,
8555,fjr1300 yamaha,10%,да,37%,0,
8556,авто ру нижегородская,20%,да,36%,0,
8557,автоу,0%,нет,41%,0,
8558,бентли старая,0%,нет,33%,-1,
8559,cadillac sts,10%,да,26%,-1,
8560,maxus g50,0%,нет,41%,0,
8561,mercedes gls 600,10%,да,36%,0,
8562,silvia toyota,0%,нет,32%,-1,
8563,nissan tino,10%,да,22%,-1,
8564,тойота краун фото,0%,нет,23%,-1,
8565,фольксваген кабриолет,0%,нет,30%,-1,
8566,характеристики тойота танк,0%,нет,65%,0,
8567,е1авто ру купить екатеринбург,90%,нет,65%,0,
8568,фольксваген екатеринбург,90%,нет,61%,0,
8569,купить электромобиль в казани,70%,нет,99%,1,
8570,как проверить уровень масла в коробке,0%,нет,2%,-1,
8571,забыл права дома какой штраф 2023,0%,нет,2%,-1,
8572,как открыть машину если ключи внутри,0%,нет,0%,-1,
8573,машина заглохла на ходу,0%,нет,0%,-1,
8574,потеют стекла в машине что делать,0%,нет,0%,-1,
8575,слс 63,0%,нет,38%,0,
8576,сколько стоит аркана рено,0%,нет,100%,1,
8577,тойота тундра сколько стоит,0%,нет,98%,1,
8578,храу лада,40%,да,43%,0,
8579,купить авто под такси,70%,да,98%,1,
8580,ауди б3,20%,да,29%,-1,
8581,audi a80,30%,да,30%,-1,
8582,ауди серая,30%,да,53%,0,
8583,rs 5,20%,да,29%,-1,
8584,rs6 avant,30%,да,31%,-1,
8585,320i,0%,нет,38%,0,
8586,м 5 е 60,0%,нет,22%,-1,
8587,bmw x5 2021,0%,нет,62%,0,
8588,c2 citroen,20%,да,30%,-1,
8589,форд фокус сколько стоит,80%,да,100%,1,
8590,honda cr v 2008,50%,да,42%,0,
8591,акцент хендай 2006,40%,да,55%,0,
8592,hyundai creta 2021,30%,да,44%,0,
8593,solaris 2,0%,нет,24%,-1,
8594,комби машина,20%,да,28%,-1,
8595,инфинити ех25,20%,да,39%,0,
8596,цена jac,80%,да,99%,1,
8597,ниссан тиида седан,10%,да,20%,-1,
8598,skoda rapid 2021,60%,да,52%,0,
8599,субару хэтчбек,20%,да,54%,0,
8600,купить toyota trueno ae86 в россии,0%,нет,82%,1,
8601,сколько стоит тойота тундра,0%,нет,99%,1,
8602,сколько стоит тундра тойота,0%,нет,93%,1,
8603,ваз 21 0 3,30%,да,25%,-1,
